time,x,y,z,roll,pitch,yaw,xdot,ydot,zdot,p,q,r,thrust,roll angle,pitch angle,yaw angle
0,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,0.0184195323069548,8.79230600587429,-0.00143605173155601,-0.00136605486815688,-0.00173954859398929
0.01,0.0193717654817975,0.0193717654817975,0.0193717654817975,0.0195652531136263,0.0191532446255681,0.0193553587595609,-0.0567758191441507,0.0934132215034389,3.93634300745195,-0.0487208623453469,-0.0429994082130757,-0.0271595656780322,5.89349265945246,-0.000341113750844256,-0.000201068617642785,0.000372606871556223
0.02,-0.0224581724958158,0.0381747583480258,1.59969590442616,-0.0182682479759246,-0.015872706280809,-0.00945073611676889,-0.0238076347626078,0.0279994144395246,1.03969943541524,-0.0135702198486682,-0.00681974262294201,0.00874425547548108,7.18661897477905,0.000908208338667149,0.000702157215845327,3.36697030165514e-05
0.03,-0.00223151867025429,0.0189268433916963,0.452533054831981,0.000963460849606712,0.00378159122254635,0.010185131681464,0.0435804598253968,-0.0282845821726526,2.35951210641243,0.0418440331751656,0.0321965042305878,0.00598830253312497,6.90055431557053,-0.00113689898806153,-0.000984510227332711,-0.000763685760147614
0.04,0.00216102603283574,-0.0261714805690715,0.974701233166521,0.00353692665412712,-0.000369260035469138,-0.0107827197209308,-0.0332568299707377,-0.0170915516508843,2.07598023488415,-0.0576416982565408,-0.0496157815347101,-0.02757282544745,6.76428150416773,0.00121576967878683,0.000915607837299249,0.00181556437624618
0.05,0.0237635177558997,0.0307387921550539,0.919169092407231,0.00880746688712926,0.0119332139287359,0.0209187585415668,0.0501218892422185,0.0629311883795178,1.99605942383763,0.075516687028971,0.0616988266703205,0.0650546351900656,6.87301574049587,-0.00283499074946115,-0.00229211824433888,-0.00406073620620986
0.06,0.0180392626056382,0.0237667569198639,0.86811396416023,0.0323606707756572,0.0245641822578008,0.0273154464117411,-0.0268909567704127,0.0228662203063514,2.09895474174442,-0.115826176582461,-0.0871103920581463,-0.0856868245097106,6.83081433109755,0.00088293119958815,0.000543534933472346,0.00276786360118852
0.07,0.0271336147200494,0.0477485167270931,0.954847486359151,-0.0128305387421008,-0.00138260854519547,-0.000631674020803275,0.000690164055699993,0.123513160593274,2.10532722711154,0.0617878394709409,0.0499120387785567,0.0864273994166357,6.75386535293695,-0.00192636305358007,-0.00160368374436308,-0.00405732266500005
0.08,0.00236091157537266,0.052914996565249,0.940958179247359,0.0304190759008396,0.023532501655115,0.0398227088247959,0.00203981420659729,-0.00729814171560897,2.02081277866471,-0.0765004075555291,-0.0575856900315543,-0.0826351686233227,6.84267080251873,-3.05995023540871e-05,-0.000168546523584187,0.00203175639888111
0.09,0.0190263008949553,0.0163554397625766,0.930780370500366,-0.0149066085568205,-0.00688989946872103,-0.016832242043983,-0.0298982925188939,0.0923513741328157,2.14016748871734,0.00975023899480323,0.0068814935854491,0.0558624971878764,6.7403128923498,-0.000456251411491837,-0.000423739221025157,-0.00184798007957717
0.1,-0.0440388984104794,0.00687090200407266,0.947415294337578,-0.0242103622804076,-0.0251162210807799,-0.0049937222349111,-0.0448630151328007,-0.0624261450329451,2.01787754297213,-0.0431913521184728,-0.0411657490941664,-0.0630007740741343,6.8294274405972,0.00206192085714729,0.00141050344616388,0.00322060810926864
0.11,-0.0296380536868246,-0.0352593745098617,0.924703428762443,-0.030811038539661,-0.0314584196416213,-0.0389421807221493,0.0153408000880048,-0.0600816021912659,2.13975441002967,0.0698698578587134,0.0427241450948312,0.056370127702512,6.74383948891536,-0.00038258824322509,-0.000165309870806737,-0.000826146569904238
0.12,0.0338486732006974,0.00494304336625091,1.02321246362325,0.051414230878811,0.0398435032854054,0.0462832094865868,0.0859252118228609,-0.0130268317433514,2.10455144787112,0.00193555710233057,0.013417725332575,0.0015940688029186,6.7208206152626,-0.00296348477604366,-0.00268030752213403,-0.00224898893895109
0.13,0.0189885776404534,-0.0200368096706942,0.985980977665031,-0.0116951057855528,-0.00727706353464341,-0.0116223284803267,-0.0996711073642694,0.0706942259825831,2.07318773654737,-0.132171811155034,-0.115625822482175,-0.0586681884356386,6.7564289895613,0.00295633413014734,0.00213680643451671,0.00333196570272591
0.14,-0.0267434724123428,0.0437224744885066,1.00897980835617,-0.0424220897608319,-0.0375026991642717,-0.0132276884236382,0.0215417403169557,0.00511605171527127,2.14011969736334,0.125334243645061,0.0914546454748081,0.0789001560397303,6.67926766770992,-0.00187465204458888,-0.00128592865811217,-0.0031053225976206
0.15,-2.56050088959271e-05,-0.00510744087453758,1.03079994860372,0.043409204012112,0.0281545135514357,0.0246987679315757,0.0438053321127864,-0.0784694513847254,2.071015136594,-0.0850491200017308,-0.0548610196021104,-0.0723548147306582,6.7361538812694,-0.000344473637272728,-0.000636381321491038,0.00226187938120649
0.16,0.0158214970749598,-0.0323595375909866,1.01982484183915,-0.0377470614906126,-0.025388336641121,-0.0319136641629037,-0.058879006584959,0.0714378859647844,2.14846515012813,-0.0194281801846178,-0.0272676858402646,0.0449439202059762,6.66361151433717,0.00122652133209228,0.000831481590965529,-0.000617759617670669
